pid	iowa_id	omics_analysis	sex	group	runseq	corticosterone	glucagon	glucose	glycerol	insulin	insulin_pm	insulin_uu_ml	ketones	lactate	leptin	nefa
10025898	06M8T12	FALSE	Male	8W	108	87	16.4	229	0.7	2432	419.3	55.936	382	2.16	9107	0.31
10914331	06FST23	FALSE	Female	1W	109	37	95.5	155	1.7	2034	350.7	46.782	900	1.3	11022	0.55
10536558	06MST14	FALSE	Male	1W	110	24	50.5	175	1.03	3116	537.2	71.668	438	1.19	32867	0.98
10616233	06MST23	FALSE	Male	1W	111	58	41.2	182	1.12	2795	481.9	64.285	442	1.46	21101	0.63
10046542	06F8T25	FALSE	Female	8W	112	38	62.3	157	2.08	3268	563.4	75.164	638	1.47	12343	1.17
10315624	06F4T9	FALSE	Female	4W	113	5	59.9	170	1.2	2372	409	54.556	705	1.54	17740	0.79
10204989	06M4T18	TRUE	Male	4W	114	16	32	171	0.97	3970	684.5	91.31	359	1.48	24070	1.23
10496580	06MST10	FALSE	Male	2W	115	63	37.5	170	1.37	2525	435.3	58.075	1029	1.31	33368	1.08
10085017	06M4T4	FALSE	Male	4W	116	40	33.3	169	0.82	4515	778.4	103.845	274	1.68	47915	0.64
10045228	06F8T15	TRUE	Female	8W	117	5	51.6	165	1.61	2173	374.7	49.979	447	1.64	16019	1
10591575	06MST21	FALSE	Male	2W	118	15	34.4	179	1.79	3586	618.3	82.478	586	1.25	32326	1.12
10025626	06M8T10	TRUE	Male	8W	119	16	46.1	177	0.93	2476	426.9	56.948	452	1.64	8483	0.65
10139710	06M4T12	FALSE	Male	4W	120	135	44	183	0.91	4936	851	113.528	710	1.32	32171	0.85
10043950	06F8T4	TRUE	Female	SED	121	38	64.2	151	1.95	1655	285.3	38.065	917	1.38	19476	1
10044418	06F8T9	FALSE	Female	SED	122	NA	67.5	NA	NA	1778	306.6	40.894	694	NA	17816	NA
10027327	06M8T25	TRUE	Male	SED	123	5	13	169	1.09	2278	392.8	52.394	463	1.52	37940	0.71
10045309	06F8T16	TRUE	Female	8W	124	15	50.3	172	1	2142	369.3	49.266	369	1.55	15100	0.55
10770666	06FST11	FALSE	Female	1W	125	23	149.6	138	1.15	1406	242.4	32.338	1080	1.4	8485	0.66
10284052	06F4T4	FALSE	Female	4W	126	87	12.3	161	1.64	2137	368.4	49.151	518	1.76	11226	0.47
10830073	06FST15	FALSE	Female	2W	127	37	48.4	158	1.33	2129	367.1	48.967	594	1.29	8291	0.68
10756086	06FST8	FALSE	Female	2W	128	46	69.4	180	1	2661	458.8	61.203	361	1.48	15774	0.41
10543767	06MST15	FALSE	Male	1W	129	52	38.7	188	1.27	2483	428.1	57.109	950	1.19	40635	1.04
10742611	06FST7	FALSE	Female	2W	130	37	121	152	1.34	2530	436.2	58.19	881	1.19	12676	0.65
10761160	06FST10	TRUE	Female	2W	131	58	78.9	141	1.29	1400	241.4	32.2	1059	1.37	11991	0.76
10641858	06MST27	TRUE	Male	2W	132	66	44.3	178	1.8	2380	410.3	54.74	538	2.3	24000	0.95
10282947	06F4T3	FALSE	Female	4W	133	57	59.7	174	1.11	1816	313.1	41.768	708	1.39	15706	0.62
10026517	06M8T19	TRUE	Male	SED	134	32	69.1	175	1.22	3440	593.1	79.12	749	1.06	58397	0.75
10185585	06M4T17	TRUE	Male	4W	135	36	23.4	182	1.45	5629	970.5	129.467	592	1.32	54255	0.81
10171010	06M4T14	FALSE	Male	4W	136	89	18.8	180	0.94	2571	443.3	59.133	669	1.19	17468	0.81
10621903	06MST25	FALSE	Male	1W	137	10	22.3	178	1.25	2890	498.3	66.47	543	1.36	29541	1.26
10833331	06FST16	TRUE	Female	1W	138	32	149.4	132	1.42	2633	454	60.559	1082	1.13	9687	0.72
10306471	06F4T6	TRUE	Female	4W	139	87	74	163	1.06	1690	291.4	38.87	597	1.22	15390	0.57
10858679	06FST17	FALSE	Female	2W	140	5	97.4	145	1.36	2311	398.4	53.153	897	1.11	10619	0.75
10702741	06FST3	FALSE	Female	2W	141	22	95.7	162	1.06	2636	454.5	60.628	969	1.14	5776	0.83
10268871	06F4T2	FALSE	Female	4W	142	29	1.6	NA	NA	802	138.3	18.446	320	NA	5990	NA
10780629	06FST12	FALSE	Female	1W	143	40	41.3	174	0.96	2272	391.7	52.256	513	1.69	11870	0.54
10045570	06F8T17	FALSE	Female	SED	144	25	32.8	163	2.29	2912	502.1	66.976	558	1.52	19484	1.03
10950648	06FST26	FALSE	Female	1W	145	68	95.3	174	1.4	2671	460.5	61.433	660	1.66	18207	0.67
10422463	06MST2	TRUE	Male	1W	146	62	36.6	162	1.3	3511	605.3	80.753	743	1.1	28431	0.91
