id	feature_ID	metabolite_refmet	CURRENT_REFMET_NAME	refmet_name	metabolite_name	lipid_class	chain_length	double_bond	sn_position	super_class	main_class	sub_class	Final_Class_Edited	formula	exactmass	pubchem_cid	kegg_id	inchi_key	lm_id	hmdb_id	chebi_id	is_review	NEW_CLASSES	Proposed.Classification	Added.By	Final_Class	CUSTOM_CLASS	Source	X	dataset
C20 carnitine	25	C20 carnitine	CAR(20:0)	CAR 20:0	CAR(20:0)	C20 carnitine	Car	20	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C27H53NO4	455.3975	53477833	C02301	SVJLJQBGUITFLI-UHFFFAOYSA-N	LMFA07070052	HMDB0006460	137651	1	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-hilicpos
Car(20:4)_feature1	26	Car(20:4)_feature1	CAR(20:4)	CAR 20:4	CAR(20:4)	C20:4 carnitine	Car	20	4	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C31H54NO4	504.4053	NA	C02301				NA	1	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
C3 carnitine	27	C3 carnitine	CAR(3:0)	CAR 3:0	CAR(3:0)	Car(3:0)_feature1	Car	3	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C10H19NO4	217.1314	188824	C03017	UFAHZIUFPNSHSL-MRVPVSSYSA-N	LMFA07070005	HMDB0062514	53210	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-hilicpos
C4-OH carnitine	28	C4-OH carnitine	CAR(4:0(OH))	CAR 4:0;OH	CAR(4:0(OH))	Car(4:0-OH)	Car	4	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C11H21NO5	247.142	NA					NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-hilicpos
C4 carnitine	29	C4 carnitine	CAR(4:0)	CAR 4:0	CAR(4:0)	Car(4:0)	Car	4	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C11H21NO4	231.1471	213144	C02862	QWYFHHGCZUCMBN-SECBINFHSA-N	LMFA07070003	HMDB0002013	21949	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-hilicpos
C5 carnitine	30	C5 carnitine	CAR(5:0)	CAR 5:0	CAR(5:0)	Car(5:0)	Car	5	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C12H23NO4	245.1627	53481619		VSNFQQXVMPSASB-JTQLQIEISA-N	LMFA07070111	HMDB0013128	NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-hilicpos
C5:1 carnitine	31	C5:1 carnitine	CAR(5:1)	CAR 5:1	CAR(5:1)	C5:1 carnitine	Car	5	1	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C12H21NO4	243.1471	NA	C02301				NA	1	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-hilicpos
C6 carnitine	32	C6 carnitine	CAR(6:0)	CAR 6:0	CAR(6:0)	C6 carnitine	Car	6	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C13H25NO4	259.1784	3246938	C02301	VVPRQWTYSNDTEA-LLVKDONJSA-N	LMFA07070001	HMDB0000756	84834	1	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-hilicpos
C8 carnitine	33	C8 carnitine	CAR(8:0)	CAR 8:0	CAR(8:0)	C8 carnitine	Car	8	0	NA	Fatty Acyls	Fatty esters	Acyl carnitines	Lipids and Lipid related compounds	C15H29NO4	287.2097	11953814	C02838	CXTATJFJDMJMIY-CYBMUJFWSA-N	LMFA07070002	HMDB0000791	18102	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-hilicpos
carnitine	34	carnitine	Carnitine	Carnitine	Carnitine	carnitine_feature1	NA	NA	NA	NA	Organic nitrogen compounds	Carnitines	Carnitines	Amino acids, Amino acid like and derivatives	C7H15NO3	161.1052	10917	C00487	PHIQHXFUZVPYII-ZCFIWIBFSA-N		HMDB0000062	16347	0	Organic Compounds	Amino acids, Amino acid like and derivatives	NB	Amino acids, Amino acid like and derivatives	Amino acids, Amino acid like and derivatives		NA	metab-u-hilicpos
Carnosine	35	Carnosine	Carnosine	Carnosine	Carnosine	carnosine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Hybrid peptides	Amino acids, Amino acid like and derivatives	C9H14N4O3	226.1066	439224	C00386	CQOVPNPJLQNMDC-ZETCQYMHSA-N		HMDB0000033	15727	0	Peptides			Amino acids, Amino acid like and derivatives	Peptides		NA	metab-t-amines
Cer(d34:1)>Cer(d18:1/16:0)_feature1	36	Cer(d34:1)>Cer(d18:1/16:0)_feature1	Cer(d18:1/16:0)	Cer 18:1;O2/16:0	Cer(d18:1/16:0)	Cer(d34:1)>Cer(d18:1/16:0)_feature1	Cer	34	1	Cer 18:1;O2/16:0	Sphingolipids	Ceramides	Cer	Lipids and Lipid related compounds	C34H67NO3	537.5121	5283564	C00195	YDNKGFDKKRUKPY-TURZORIXSA-N	LMSP02010004	HMDB0004949	72959	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
choline	37	choline	Choline	Choline	Choline	choline	NA	NA	NA	NA	Organic nitrogen compounds	Cholines	Cholines	Hormone and Neurotransmitter	C5H14NO	104.1075	305	C00114	OEYIOHPDSNJKLS-UHFFFAOYSA-N		HMDB0000097	15354	0	Organic Compounds	neurotransmitter/hormone	NB	Hormone and Neurotransmitter	pigment,vitamin,cofactor		NA	metab-u-hilicpos
cis-aconitate	38	cis-aconitate	cis-Aconitic acid	cis-Aconitic acid	cis-Aconitic acid	cis-aconitate	NA	NA	NA	NA	Organic acids	TCA acids	TCA acids	Energy	C6H6O6	174.0164	643757	C00417	GTZCVFVGUGFEME-IWQZZHSRSA-N		HMDB0000072	32805	0	Organic Acids	Energy	ES	Energy	Organic Acids		NA	metab-t-tca
Citrate	39	Citrate	Citric acid	Citric acid	Citric acid	citrate	NA	NA	NA	NA	Organic acids	TCA acids	TCA acids	Energy	C6H8O7	192.027	311	C00158	KRKNYBCHXYNGOX-UHFFFAOYSA-N		HMDB0000094	30769	0	Organic Acids	Energy	ES	Energy	Organic Acids		NA	metab-t-tca
Citrulline	40	Citrulline	Citrulline	Citrulline	Citrulline	citrulline	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids	Amino acids, Amino acid like and derivatives	C6H13N3O3	175.0957	9750	C00327	RHGKLRLOHDJJDR-BYPYZUCNSA-N		HMDB0000904	16349	0	Amino Acids	Amino acids, Amino acid like and derivatives	NB	Amino acids, Amino acid like and derivatives	Amino Acids		NA	metab-t-amines
CMP	41	CMP	CMP	CMP	CMP	CMP	NA	NA	NA	NA	Nucleic acids	Pyrimidines	Pyrimidine rNMP	Nucleotides and derivatives	C9H14N3O8P	323.0519	6131	C00055	IERHLVCPSMICTF-XVFCMESISA-N		HMDB0000095	17361	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
creatine	42	creatine	Creatine	Creatine	Creatine	creatine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids	Amino acids, Amino acid like and derivatives	C4H9N3O2	131.0695	586	C00300	CVSVTCORWBXHQV-UHFFFAOYSA-N		HMDB0000064	16919	0	Amino Acids	Amino acids, Amino acid like and derivatives	NB	Amino acids, Amino acid like and derivatives	Amino Acids		NA	metab-u-hilicpos
cytidine	43	cytidine	Cytidine	Cytidine	Cytidine	cytidine	NA	NA	NA	NA	Nucleic acids	Pyrimidines	Pyrimidine ribonucleosides	Nucleotides and derivatives	C9H13N3O5	243.0855	6175	C00475	UHDGCWIWMRVCDJ-XVFCMESISA-N		HMDB0000089	17562	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-u-hilicpos
deoxycholate	44	deoxycholate	Deoxycholic acid	Deoxycholic acid	Deoxycholic acid	deoxycholate	NA	NA	NA	NA	Sterol Lipids	Bile acids	C24 bile acids	Lipids and Lipid related compounds	C24H40O4	392.2927	222528	C04483	KXGVEGMKQFWNSR-LLQZFEROSA-N	LMST04010040	HMDB0000626	28834	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-rpneg
C34:1 DAG	45	C34:1 DAG	DG(34:1)	DG 34:1	DG(34:1)	C34:1 DAG	DG	34	1	NA	Glycerolipids	Diradylglycerols	DAG	Lipids and Lipid related compounds	C37H70O5	594.5223	NA	C00641				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-hilicpos
FA(20:4)	46	FA(20:4)	Eicosatetraenoic acid	Eicosatetraenoic acid	Eicosatetraenoic acid	FA(20:4)	Unsaturated FA	20	4	NA	Fatty Acyls	Fatty acids	Unsaturated FA	Lipids and Lipid related compounds	C20H32O2	304.2402	NA					NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-rpneg
Fumarate	47	Fumarate	Fumaric acid	Fumaric acid	Fumaric acid	fumarate	NA	NA	NA	NA	Organic acids	TCA acids	TCA acids	Energy	C4H4O4	116.011	444972	C00122	VZCYOOQTPOCHFL-OWOJBTEDSA-N		HMDB0000134	18012	0	Organic Acids	Energy	ES	Energy	Organic Acids		NA	metab-t-tca
gamma-Amino-N-butyric-acid	48	gamma-Amino-N-butyric-acid	gamma-Aminobutyric acid	gamma-Aminobutyric acid	gamma-Aminobutyric acid	GABA	Amino FA	NA	NA	NA	Fatty Acyls	Fatty acids	Amino FA	Lipids and Lipid related compounds	C4H9NO2	103.0633	119	C00334	BTCSSZJGUNDROE-UHFFFAOYSA-N	LMFA01100039	HMDB0000112	16865	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-t-amines
gamma-glutamylisoleucine	49	gamma-glutamylisoleucine	gamma-Glutamylisoleucine	gamma-Glutamylisoleucine	gamma-Glutamylisoleucine	gamma-glutamylisoleucine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Dipeptides	Amino acids, Amino acid like and derivatives	C11H20N2O5	260.1372	22885096		SNCKGJWJABDZHI-ZKWXMUAHSA-N		HMDB0011170	68434	0	Peptides			Amino acids, Amino acid like and derivatives	Peptides		NA	metab-u-rppos
gamma-glutamylleucine	50	gamma-glutamylleucine	gamma-Glutamylleucine	gamma-Glutamylleucine	gamma-Glutamylleucine	gamma-glutamylleucine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Dipeptides	Amino acids, Amino acid like and derivatives	C11H20N2O5	260.1372	151023		MYFMARDICOWMQP-YUMQZZPRSA-N		HMDB0011171	68433	0	Peptides			Amino acids, Amino acid like and derivatives	Peptides		NA	metab-u-rppos
GDP	51	GDP	GDP	GDP	GDP	GDP	NA	NA	NA	NA	Nucleic acids	Purines	Purine rNDP	Nucleotides and derivatives	C10H15N5O11P2	443.0243	1.35e+08	C00035	QGWNDRXFNXRZMB-UUOKFMHZSA-N		HMDB0001201	17552	0	Nucleic Acids	Nucleotides and derivatives	NB	Nucleotides and derivatives	Nucleic Acids		NA	metab-t-nuc
glucose	52	glucose	Glucose	Glucose	Glucose	glucose	NA	NA	NA	NA	Carbohydrates	Monosaccharides	Monosaccharides	Energy	C6H12O6	180.0634	5793	C00267	WQZGKKKJIJFFOK-GASJEMHNSA-N		HMDB0000122	4167	0	Carbohydrates	Energy	NB	Energy	Carbohydrates		NA	metab-u-rppos
Glutamic Acid	53	Glutamic Acid	Glutamic acid	Glutamic acid	Glutamic acid	glutamate	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids	Amino acids, Amino acid like and derivatives	C5H9NO4	147.0532	33032	C00025	WHUUTDBJXJRKMK-VKHMYHEASA-N		HMDB0000148	16015	0	Amino Acids	Amino acids, Amino acid like and derivatives	NB	Amino acids, Amino acid like and derivatives	Amino Acids		NA	metab-t-amines
Glutamine	54	Glutamine	Glutamine	Glutamine	Glutamine	glutamine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids	Amino acids, Amino acid like and derivatives	C5H10N2O3	146.0691	5961	C00064	ZDXPYRJPNDTMRX-VKHMYHEASA-N		HMDB0000641	18050	0	Amino Acids	Amino acids, Amino acid like and derivatives	NB	Amino acids, Amino acid like and derivatives	Amino Acids		NA	metab-t-amines
glutathione reduced	55	glutathione reduced	Glutathione	Glutathione	Glutathione	glutathione reduced	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Peptides	Amino acids, Amino acid like and derivatives	C10H17N3O6S	307.0838	124886	C00051	RWSXRVCMGQZWBV-WDSKDSINSA-N		HMDB0000125	16856	0	Peptides			Amino acids, Amino acid like and derivatives	Peptides		NA	metab-u-hilicpos
Glycine	56	Glycine	Glycine	Glycine	Glycine	glycine	NA	NA	NA	NA	Organic acids	Amino acids and peptides	Amino acids	Amino acids, Amino acid like and derivatives	C2H5NO2	75.03203	750	C00037	DHMQDGOQFOQNFH-UHFFFAOYSA-N		HMDB0000123	15428	0	Amino Acids	Amino acids, Amino acid like and derivatives	NB	Amino acids, Amino acid like and derivatives	Amino Acids		NA	metab-t-amines
