id	feature_ID	metabolite_refmet	CURRENT_REFMET_NAME	refmet_name	metabolite_name	lipid_class	chain_length	double_bond	sn_position	super_class	main_class	sub_class	Final_Class_Edited	formula	exactmass	pubchem_cid	kegg_id	inchi_key	lm_id	hmdb_id	chebi_id	is_review	NEW_CLASSES	Proposed.Classification	Added.By	Final_Class	CUSTOM_CLASS	Source	X	dataset
TG(51:3)>TG(15:0_18:1_18:2)_and_TG(16:0_17:1_18:2)_and_TG(16:1_17:1_18:1)_feature3	581	TG(51:3)>TG(15:0_18:1_18:2)_and_TG(16:0_17:1_18:2)_and_TG(16:1_17:1_18:1)_feature3	TG(51:3)_lp_c	TG 51:3	TG(51:3)_lp_c	TG(51:3)>TG(15:0_18:1_18:2)_and_TG(16:0_17:1_18:2)_and_TG(16:1_17:1_18:1)_feature3	TG	51	3	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C54H98O6	842.7363	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(51:4)>TG(16:1_17:1_18:2)_and_TG(15:0_18:2_18:2)_and_TG(15:1_18:1_18:2)_feature1	582	TG(51:4)>TG(16:1_17:1_18:2)_and_TG(15:0_18:2_18:2)_and_TG(15:1_18:1_18:2)_feature1	TG(51:4)	TG 51:4	TG(51:4)	TG(51:4)>TG(16:1_17:1_18:2)_and_TG(15:0_18:2_18:2)_and_TG(15:1_18:1_18:2)_M+NH3_feature1	TG	51	4	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C54H96O6	840.7207	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(51:5)>TG(15:0_18:2_18:3)_and_TG(15:1_18:2_18:2)_M+NH3_feature2	583	TG(51:5)>TG(15:0_18:2_18:3)_and_TG(15:1_18:2_18:2)_M+NH3_feature2	TG(51:5)_lp_b	TG 51:5	TG(51:5)_lp_b	TG(51:5)>TG(15:0_18:2_18:3)_and_TG(15:1_18:2_18:2)_M+NH3_feature2	TG	51	5	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C54H94O6	838.705	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(52:1)_M+NH3_feature3	584	TG(52:1)_M+NH3_feature3	TG(52:1)_lp_c	TG 52:1	TG(52:1)_lp_c	TG(52:1)>TG(16:0_18:0_18:1)_and_TG(16:0_16:0_20:1)_feature3	TG	52	1	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C55H104O6	860.7833	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(52:2)>TG(16:0_18:1_18:1)_and_TG(16:0_18:0_18:2)_M+NH3_feature5	585	TG(52:2)>TG(16:0_18:1_18:1)_and_TG(16:0_18:0_18:2)_M+NH3_feature5	TG(52:2)_lp_e	TG 52:2	TG(52:2)_lp_e	TG(52:2)>TG(16:0_18:1_18:1)_and_TG(16:0_18:0_18:2)_M+NH3_feature5	TG	52	2	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C55H102O6	858.7676	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(52:2)>TG(16:0_18:1_18:1)_and_TG(16:0_18:0_18:2)_M+NH3_feature7	586	TG(52:2)>TG(16:0_18:1_18:1)_and_TG(16:0_18:0_18:2)_M+NH3_feature7	TG(52:2)_lp_g	TG 52:2	TG(52:2)_lp_g	TG(52:2)>TG(16:0_18:1_18:1)_and_TG(16:0_18:0_18:2)_M+NH3_feature7	TG	52	2	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C55H102O6	858.7676	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(52:3)>TG(16:0_18:1_18:2)_and_TG(16:1_18:1_18:1)_feature3	587	TG(52:3)>TG(16:0_18:1_18:2)_and_TG(16:1_18:1_18:1)_feature3	TG(52:3)_lp_c	TG 52:3	TG(52:3)_lp_c	TG(52:3)>TG(16:0_18:1_18:2)_and_TG(16:1_18:1_18:1)_M+NH3_feature3	TG	52	3	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C55H100O6	856.752	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(52:4)>TG(16:0_16:0_20:4)_and_TG(16:1_18:1_18:2)_and_TG(16:0_18:1_18:2)_M+NH3_feature6	588	TG(52:4)>TG(16:0_16:0_20:4)_and_TG(16:1_18:1_18:2)_and_TG(16:0_18:1_18:2)_M+NH3_feature6	TG(52:4)_lp_f	TG 52:4	TG(52:4)_lp_f	TG(52:4)>TG(16:0_16:0_20:4)_and_TG(16:1_18:1_18:2)_and_TG(16:0_18:1_18:2)_M+NH3_feature6	TG	52	4	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C55H98O6	854.7363	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(52:4)>TG(16:1_18:1_18:2)_M+NH3_feature1	589	TG(52:4)>TG(16:1_18:1_18:2)_M+NH3_feature1	TG(16:1_18:1_18:2)_lp_a	TG 16:1_18:1_18:2	TG(16:1_18:1_18:2)_lp_a	TG(52:4)>TG(16:1_18:1_18:2)_M+NH3_feature1	TG	52	4	TG 16:1_18:1_18:2	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C55H98O6	854.7363	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(52:4)>TG(16:1_18:1_18:2)_M+NH3_feature4	590	TG(52:4)>TG(16:1_18:1_18:2)_M+NH3_feature4	TG(16:1_18:1_18:2)_lp_d	TG 16:1_18:1_18:2	TG(16:1_18:1_18:2)_lp_d	TG(52:4)>TG(16:1_18:1_18:2)_M+NH3_feature4	TG	52	4	TG 16:1_18:1_18:2	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C55H98O6	854.7363	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(52:4)>TG(16:1_18:1_18:2)_M+NH3_feature5	591	TG(52:4)>TG(16:1_18:1_18:2)_M+NH3_feature5	TG(16:1_18:1_18:2)_lp_e	TG 16:1_18:1_18:2	TG(16:1_18:1_18:2)_lp_e	TG(52:4)>TG(16:1_18:1_18:2)_M+NH3_feature5	TG	52	4	TG 16:1_18:1_18:2	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C55H98O6	854.7363	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(52:5)>TG(16:0_18:2_18:3)_M+NH3_feature5	592	TG(52:5)>TG(16:0_18:2_18:3)_M+NH3_feature5	TG(16:0_18:2_18:3)_lp_e	TG 16:0_18:2_18:3	TG(16:0_18:2_18:3)_lp_e	TG(52:5)>TG(16:0_18:2_18:3)_M+NH3_feature5	TG	52	5	TG 16:0_18:2_18:3	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C55H96O6	852.7207	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(52:5)>TG(16:1_18:2_18:2)_feature3	593	TG(52:5)>TG(16:1_18:2_18:2)_feature3	TG(16:1_18:2_18:2)_lp_c	TG 16:1_18:2_18:2	TG(16:1_18:2_18:2)_lp_c	TG(52:5)>TG(16:1_18:2_18:2)_feature3	TG	52	5	TG 16:1_18:2_18:2	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C55H96O6	852.7207	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(52:6)>TG(16:1_18:2_18:3)_and_TG(16:2_18:2_18:2)_feature3	594	TG(52:6)>TG(16:1_18:2_18:3)_and_TG(16:2_18:2_18:2)_feature3	TG(52:6)_lp_c	TG 52:6	TG(52:6)_lp_c	TG(52:6)>TG(16:1_18:2_18:3)_and_TG(16:2_18:2_18:2)_feature3	TG	52	6	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C55H94O6	850.705	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(52:6)_feature4	595	TG(52:6)_feature4	TG(52:6)_lp_d	TG 52:6	TG(52:6)_lp_d	TG(52:6)_M+NH3_feature4	TG	52	6	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C55H94O6	850.705	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(52:7)_M+NH3_feature2	596	TG(52:7)_M+NH3_feature2	TG(52:7)_lp_b	TG 52:7	TG(52:7)_lp_b	TG(52:7)_M+NH3_feature2	TG	52	7	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C55H92O6	848.6894	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(53:1)>TG(16:0_18:1_19:0)_and_TG(17:0_18:0_18:1)_M+NH3_feature4	597	TG(53:1)>TG(16:0_18:1_19:0)_and_TG(17:0_18:0_18:1)_M+NH3_feature4	TG(53:1)_lp_d	TG 53:1	TG(53:1)_lp_d	TG(53:1)>TG(16:0_18:1_19:0)_and_TG(17:0_18:0_18:1)_M+NH3_feature4	TG	53	1	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C56H106O6	874.7989	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(53:2)_feature4	598	TG(53:2)_feature4	TG(53:2)_lp_d	TG 53:2	TG(53:2)_lp_d	TG(53:2)_feature4	TG	53	2	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C56H104O6	872.7833	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(53:3)>TG(17:0_18:1_18:2)_and_TG(17:1_18:1_18:1)_and_TG(16:1_18:1_19:1)_and_TG(16:0_18:1_19:2)_feature5	599	TG(53:3)>TG(17:0_18:1_18:2)_and_TG(17:1_18:1_18:1)_and_TG(16:1_18:1_19:1)_and_TG(16:0_18:1_19:2)_feature5	TG(53:3)_lp_e	TG 53:3	TG(53:3)_lp_e	TG(53:3)>TG(17:0_18:1_18:2)_and_TG(17:1_18:1_18:1)_and_TG(16:1_18:1_19:1)_and_TG(16:0_18:1_19:2)_M+NH3_feature5	TG	53	3	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C56H102O6	870.7676	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(53:4)>TG(17:0_18:2_18:2)_and_TG(17:1_18:1_18:2)_M+NH3_feature3	600	TG(53:4)>TG(17:0_18:2_18:2)_and_TG(17:1_18:1_18:2)_M+NH3_feature3	TG(53:4)_lp_c	TG 53:4	TG(53:4)_lp_c	TG(53:4)>TG(17:0_18:2_18:2)_and_TG(17:1_18:1_18:2)_M+NH3_feature3	TG	53	4	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C56H100O6	868.752	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(53:5)>TG(17:1_18:2_18:2)_feature1	601	TG(53:5)>TG(17:1_18:2_18:2)_feature1	TG(17:1_18:2_18:2)_lp_a	TG 17:1_18:2_18:2	TG(17:1_18:2_18:2)_lp_a	TG(53:5)>TG(17:1_18:2_18:2)_M+NH3_feature1	TG	53	5	TG 17:1_18:2_18:2	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C56H98O6	866.7363	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(53:6)>TG(17:2_18:2_18:2)_and_TG(17:1_18:2_18:3)_feature1	602	TG(53:6)>TG(17:2_18:2_18:2)_and_TG(17:1_18:2_18:3)_feature1	TG(53:6)_lp_a	TG 53:6	TG(53:6)_lp_a	TG(53:6)>TG(17:2_18:2_18:2)_and_TG(17:1_18:2_18:3)_M+NH3_feature1	TG	53	6	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C56H96O6	864.7207	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:1)>TG(18:0_18:0_18:1)_and_TG(16:1_18:0_20:0)_and_TG(16:0_18:0_20:1)_M+NH13_feature4	603	TG(54:1)>TG(18:0_18:0_18:1)_and_TG(16:1_18:0_20:0)_and_TG(16:0_18:0_20:1)_M+NH13_feature4	TG(54:1)_lp_d	TG 54:1	TG(54:1)_lp_d	TG(54:1)>TG(18:0_18:0_18:1)_and_TG(16:1_18:0_20:0)_and_TG(16:0_18:0_20:1)_M+NH13_feature4	TG	54	1	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H108O6	888.8146	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:3)>TG(18:0_18:1_18:2)_and_TG(18:1/18:1/18:1)_and_TG(16:0_18:2_20:1)_feature9	604	TG(54:3)>TG(18:0_18:1_18:2)_and_TG(18:1/18:1/18:1)_and_TG(16:0_18:2_20:1)_feature9	TG(54:3)_lp_i	TG 54:3	TG(54:3)_lp_i	TG(54:3)>TG(18:0_18:1_18:2)_and_TG(18:1/18:1/18:1)_and_TG(16:0_18:2_20:1)_M+NH3_feature9	TG	54	3	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H104O6	884.7833	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:3)>TG(18:1/18:1/18:1)_M+NH3_feature2	605	TG(54:3)>TG(18:1/18:1/18:1)_M+NH3_feature2	TG(18:1_18:1_18:1)_lp_b	TG 18:1/18:1/18:1*	TG(18:1_18:1_18:1)_lp_b	TG(54:3)>TG(18:1/18:1/18:1)_M+NH3_feature2	TG	54	3	TG 18:1/18:1/18:1*	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H104O6	884.7833	NA					NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:3)>TG(18:1/18:1/18:1)_M+NH3_feature3	606	TG(54:3)>TG(18:1/18:1/18:1)_M+NH3_feature3	TG(18:1_18:1_18:1)_lp_c	TG 18:1/18:1/18:1*	TG(18:1_18:1_18:1)_lp_c	TG(54:3)>TG(18:1/18:1/18:1)_M+NH3_feature3	TG	54	3	TG 18:1/18:1/18:1*	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H104O6	884.7833	NA					NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:3)>TG(18:1/18:1/18:1)_M+NH3_feature8	607	TG(54:3)>TG(18:1/18:1/18:1)_M+NH3_feature8	TG(18:1_18:1_18:1)_lp_h	TG 18:1/18:1/18:1*	TG(18:1_18:1_18:1)_lp_h	TG(54:3)>TG(18:1/18:1/18:1)_M+NH3_feature8	TG	54	3	TG 18:1/18:1/18:1*	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H104O6	884.7833	NA					NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:4)>TG(18:1_18:1_18:2)_M+NH3_feature4	608	TG(54:4)>TG(18:1_18:1_18:2)_M+NH3_feature4	TG(18:1_18:1_18:2)_lp_d	TG 18:1_18:1_18:2	TG(18:1_18:1_18:2)_lp_d	TG(54:4)>TG(18:1_18:1_18:2)_M+NH3_feature4	TG	54	4	TG 18:1_18:1_18:2	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H102O6	882.7676	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:4)>TG(18:1_18:1_18:2)_M+NH3_feature5	609	TG(54:4)>TG(18:1_18:1_18:2)_M+NH3_feature5	TG(18:1_18:1_18:2)_lp_e	TG 18:1_18:1_18:2	TG(18:1_18:1_18:2)_lp_e	TG(54:4)>TG(18:1_18:1_18:2)_M+NH3_feature5	TG	54	4	TG 18:1_18:1_18:2	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H102O6	882.7676	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:4)>TG(18:1_18:1_18:2)_and_TG(18:0_18:2_18:2)_M+NH3_feature3	610	TG(54:4)>TG(18:1_18:1_18:2)_and_TG(18:0_18:2_18:2)_M+NH3_feature3	TG(54:4)_lp_c	TG 54:4	TG(54:4)_lp_c	TG(54:4)>TG(18:1_18:1_18:2)_and_TG(18:0_18:2_18:2)_M+NH3_feature3	TG	54	4	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H102O6	882.7676	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:5)>TG(18:1_18:2_18:2)_M+NH3_feature1	611	TG(54:5)>TG(18:1_18:2_18:2)_M+NH3_feature1	TG(18:1_18:2_18:2)_lp_a	TG 18:1_18:2_18:2	TG(18:1_18:2_18:2)_lp_a	TG(54:5)>TG(18:1_18:2_18:2)_M+NH3_feature1	TG	54	5	TG 18:1_18:2_18:2	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H100O6	880.752	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:5)>TG(18:1_18:2_18:2)_M+NH3_feature3	612	TG(54:5)>TG(18:1_18:2_18:2)_M+NH3_feature3	TG(18:1_18:2_18:2)_lp_c	TG 18:1_18:2_18:2	TG(18:1_18:2_18:2)_lp_c	TG(54:5)>TG(18:1_18:2_18:2)_M+NH3_feature3	TG	54	5	TG 18:1_18:2_18:2	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H100O6	880.752	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:5)>TG(18:1_18:2_18:2)_M+NH3_feature4	613	TG(54:5)>TG(18:1_18:2_18:2)_M+NH3_feature4	TG(18:1_18:2_18:2)_lp_d	TG 18:1_18:2_18:2	TG(18:1_18:2_18:2)_lp_d	TG(54:5)>TG(18:1_18:2_18:2)_M+NH3_feature4	TG	54	5	TG 18:1_18:2_18:2	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H100O6	880.752	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:5)>TG(18:1_18:2_18:2)_and_TG(16:0_16:0_22:5)_and_TG(16:0_18:1_20:4)_feature5	614	TG(54:5)>TG(18:1_18:2_18:2)_and_TG(16:0_16:0_22:5)_and_TG(16:0_18:1_20:4)_feature5	TG(54:5)_lp_e	TG 54:5	TG(54:5)_lp_e	TG(54:5)>TG(18:1_18:2_18:2)_and_TG(16:0_16:0_22:5)_and_TG(16:0_18:1_20:4)_feature5	TG	54	5	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H100O6	880.752	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:6)>TG(16:0_16:0_22:6)_M+NH5_feature6	615	TG(54:6)>TG(16:0_16:0_22:6)_M+NH5_feature6	TG(54:6)_lp_f	TG 54:6	TG(54:6)_lp_f	TG(54:6)>TG(16:0_16:0_22:6)_M+NH3_feature6	TG	54	6	TG 16:0_16:0_22:6	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H98O6	878.7363	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:6)>TG(18:2/18:2/18:2)_M+NH3_feature1	616	TG(54:6)>TG(18:2/18:2/18:2)_M+NH3_feature1	TG(18:2_18:2_18:2)_lp_a	TG 18:2/18:2/18:2*	TG(18:2_18:2_18:2)_lp_a	TG(54:6)>TG(18:2/18:2/18:2)_M+NH3_feature1	TG	54	6	TG 18:2/18:2/18:2*	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H98O6	878.7363	NA					NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:6)>TG(18:2/18:2/18:2)_and_TG(18:1_18:2_18:3)_M+NH3_feature4	617	TG(54:6)>TG(18:2/18:2/18:2)_and_TG(18:1_18:2_18:3)_M+NH3_feature4	TG(54:6)_lp_d	TG 54:6	TG(54:6)_lp_d	TG(54:6)>TG(18:2/18:2/18:2)_and_TG(18:1_18:2_18:3)_M+NH3_feature4	TG	54	6	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H98O6	878.7363	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:7)>TG(18:2_18:2_18:3)_feature2	618	TG(54:7)>TG(18:2_18:2_18:3)_feature2	TG(18:2_18:2_18:3)_lp_b	TG 18:2_18:2_18:3	TG(18:2_18:2_18:3)_lp_b	TG(54:7)>TG(18:2_18:2_18:3)_feature2	TG	54	7	TG 18:2_18:2_18:3	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H96O6	876.7207	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:8)_M+NH3_feature3	619	TG(54:8)_M+NH3_feature3	TG(54:8)_lp_c	TG 54:8	TG(54:8)_lp_c	TG(54:8)_M+NH3_feature3	TG	54	8	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H94O6	874.705	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(54:8)_feature1	620	TG(54:8)_feature1	TG(54:8)_lp_a	TG 54:8	TG(54:8)_lp_a	TG(54:8)_M+NH3_feature1	TG	54	8	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C57H94O6	874.705	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(55:2)_M+NH3_feature2	621	TG(55:2)_M+NH3_feature2	TG(55:2)_lp_b	TG 55:2	TG(55:2)_lp_b	TG(55:2)_M+NH3_feature2	TG	55	2	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C58H108O6	900.8146	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(55:3)>TG(18:1_18:1_19:1)_and_TG(18:1_18:2_19:0)_feature3	622	TG(55:3)>TG(18:1_18:1_19:1)_and_TG(18:1_18:2_19:0)_feature3	TG(55:3)_lp_c	TG 55:3	TG(55:3)_lp_c	TG(55:3)>TG(18:1_18:1_19:1)_and_TG(18:1_18:2_19:0)_M+NH3_feature3	TG	55	3	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C58H106O6	898.7989	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(55:4)>TG(18:1_18:2_19:1)_and_TG(18:2_18:2_19:0)_and_TG(18:1_18:1_19:2)_M+NH3_feature1	623	TG(55:4)>TG(18:1_18:2_19:1)_and_TG(18:2_18:2_19:0)_and_TG(18:1_18:1_19:2)_M+NH3_feature1	TG(55:4)_lp_a	TG 55:4	TG(55:4)_lp_a	TG(55:4)>TG(18:1_18:2_19:1)_and_TG(18:2_18:2_19:0)_and_TG(18:1_18:1_19:2)_M+NH3_feature1	TG	55	4	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C58H104O6	896.7833	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(55:4)>TG(18:1_18:2_19:1)_and_TG(18:2_18:2_19:0)_and_TG(18:1_18:1_19:2)_feature2	624	TG(55:4)>TG(18:1_18:2_19:1)_and_TG(18:2_18:2_19:0)_and_TG(18:1_18:1_19:2)_feature2	TG(55:4)_lp_b	TG 55:4	TG(55:4)_lp_b	TG(55:4)>TG(18:1_18:2_19:1)_and_TG(18:2_18:2_19:0)_and_TG(18:1_18:1_19:2)_M+NH3_feature2	TG	55	4	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C58H104O6	896.7833	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(55:5)>TG(18:2_18:2_19:1)_and_TG(18:1_18:2_19:2)_M+NH3_feature1	625	TG(55:5)>TG(18:2_18:2_19:1)_and_TG(18:1_18:2_19:2)_M+NH3_feature1	TG(55:5)_lp_a	TG 55:5	TG(55:5)_lp_a	TG(55:5)>TG(18:2_18:2_19:1)_and_TG(18:1_18:2_19:2)_M+NH3_feature1	TG	55	5	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C58H102O6	894.7676	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
TG(55:5)>TG(18:2_18:2_19:1)_and_TG(18:1_18:2_19:2)_feature4	626	TG(55:5)>TG(18:2_18:2_19:1)_and_TG(18:1_18:2_19:2)_feature4	TG(55:5)_lp_d	TG 55:5	TG(55:5)_lp_d	TG(55:5)>TG(18:2_18:2_19:1)_and_TG(18:1_18:2_19:2)_M+NH3_feature4	TG	55	5	NA	Glycerolipids	Triradylglycerols	TAG	Lipids and Lipid related compounds	C58H102O6	894.7676	NA	C00422				NA	0	Lipids	Lipids and Lipid related compounds	NB	Lipids and Lipid related compounds	Lipids		NA	metab-u-lrppos
